,Winery,Points_Mean,Price_Mean,Points_Median,Price_Median,Total_Reviews,N_Varieties,Varieties,Country,Province,Region
4002,Château Allégret,84.3,15.0,85.0,14.0,3,2,"['Bordeaux-style Red Blend', 'Bordeaux-style White Blend']",France,Bordeaux,['Bordeaux Supérieur']
4003,Château Alta Gaïa,86.3,22.3,86.0,19.0,3,2,"['Bordeaux-style White Blend', 'Bordeaux-style Red Blend']",France,Bordeaux,['Bordeaux Blanc']
4004,Château Altimar,88.7,26.5,89.0,26.5,3,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Pomerol']
4005,Château Ambe Tour Pourret,91.0,36.5,91.0,38.0,4,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Saint-Émilion']
4006,Château Ame de Musset,90.0,,90.0,,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Lalande de Pomerol']
4007,Château Amour,87.4,18.5,88.0,18.5,5,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Médoc']
4008,Château Ampélia,88.7,19.3,89.0,20.0,3,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Castillon Côtes de Bordeaux']
4009,Château Andron,85.0,15.0,85.0,15.0,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Médoc']
4010,Château Andron Blanquet,90.0,25.0,90.0,25.0,3,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Saint-Estèphe']
4011,Château Andréa,88.0,16.0,88.0,16.0,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Graves']
4012,Château Aney,85.0,27.5,85.0,25.0,4,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Haut-Médoc']
4013,Château Aney d'Arnaussan,83.0,,83.0,,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Haut-Médoc']
4014,Château Angélus,93.8,180.0,94.0,180.0,13,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Saint-Émilion']
4015,Château Anniche,85.0,15.0,85.0,15.0,2,2,"['Bordeaux-style White Blend', 'Bordeaux-style Red Blend']",France,Bordeaux,['Bordeaux Blanc']
4016,Château Anthonic,90.0,29.7,90.0,30.0,6,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Moulis-en-Médoc']
4017,Château Argadens,88.0,13.0,89.0,13.0,4,2,"['Bordeaux-style White Blend', 'Bordeaux-style Red Blend']",France,Bordeaux,['Bordeaux Blanc']
4018,Château Armandière,87.4,22.8,87.0,22.0,7,1,['Malbec'],France,Southwest France,['Cahors']
4019,Château Arnaucosse,87.5,12.5,87.5,12.5,2,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Bordeaux']
4020,Château Arnaud,88.0,48.5,89.0,49.5,4,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Saint-Estèphe']
4021,Château Arnaud Jouan,87.0,21.0,87.0,21.0,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Côtes de Bordeaux']
4022,Château Arnauld,91.0,55.0,91.0,55.0,2,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Haut-Médoc']
4023,Château Arzac,86.0,27.0,86.0,27.0,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Graves']
4024,Château Au Grand Paris,83.5,12.0,83.5,12.0,2,2,"['Bordeaux-style White Blend', 'Rosé']",France,Bordeaux,['Bordeaux Blanc']
4025,Château Auguste,88.5,15.0,88.5,15.0,2,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Bordeaux Supérieur']
4026,Château Ausone,95.2,495.0,95.5,495.0,18,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Saint-Émilion']
4027,Château Avernus,91.0,39.0,91.0,39.0,1,1,['Rhône-style Red Blend'],France,Languedoc-Roussillon,['Côtes du Roussillon']
4028,Château Bahans Haut-Brion,91.5,75.0,91.5,75.0,2,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Pessac-Léognan']
4029,Château Balac,89.0,45.0,89.0,45.0,4,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Haut-Médoc']
4030,Château Balestard,88.0,35.0,88.0,35.0,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Bordeaux']
4031,Château Balestard la Tonnelle,88.5,,88.5,,4,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Saint-Émilion']
4032,Château Ballan-Larquette,85.5,16.7,86.0,15.0,4,2,"['Bordeaux-style White Blend', 'Bordeaux-style Red Blend']",France,Bordeaux,['Bordeaux Blanc']
4033,Château Baracan,88.7,17.0,88.0,17.0,3,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Cadillac Côtes de Bordeaux']
4034,Château Barateau,89.0,,89.0,,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Haut-Médoc']
4035,Château Barbanau,87.8,17.5,88.0,18.0,9,2,"['Rosé', 'Provence red blend']",France,Provence,['Côtes de Provence']
4036,Château Barbebelle,88.0,17.7,88.0,19.0,3,2,"['Rosé', 'Provence red blend']",France,Provence,"[""Coteaux d'Aix-en-Provence""]"
4037,Château Barbeiranne,89.5,18.3,90.0,20.0,4,1,['Rosé'],France,Provence,['Côtes de Provence']
4038,Château Barbeyrolles,86.0,,86.0,,1,1,['Rosé'],France,Provence,['Côtes de Provence']
4039,Château Barbé,88.8,29.6,90.0,22.0,5,2,"['Bordeaux-style White Blend', 'Bordeaux-style Red Blend']",France,Bordeaux,['Blaye Côtes de Bordeaux']
4040,Château Barde Haut,87.7,80.0,88.0,80.0,3,2,"['Bordeaux-style Red Blend', 'Merlot']",France,Bordeaux,['Saint-Émilion']
4041,Château Bardins,87.8,32.0,88.5,32.0,4,2,"['Bordeaux-style Red Blend', 'Bordeaux-style White Blend']",France,Bordeaux,['Pessac-Léognan']
4042,Château Bardoulet,90.0,22.0,90.0,22.0,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Saint-Émilion']
4043,Château Baret,89.0,25.0,88.0,25.0,3,2,"['Bordeaux-style Red Blend', 'Bordeaux-style White Blend']",France,Bordeaux,['Pessac-Léognan']
4044,Château Barrail Chevrol,87.0,,87.0,,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Fronsac']
4045,Château Barreyre,87.8,22.8,88.0,22.0,5,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Bordeaux Supérieur']
4046,Château Barreyres,87.2,23.0,87.0,24.0,5,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Haut-Médoc']
4047,Château Baston-Brillette,87.5,30.0,87.5,30.0,2,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Moulis-en-Médoc']
4048,Château Bastor Lamontagne,87.3,,87.0,,3,1,['Bordeaux-style White Blend'],France,Bordeaux,['Sauternes']
4049,Château Bastor-Lamontagne,89.7,,89.0,,6,1,['Bordeaux-style White Blend'],France,Bordeaux,['Sauternes']
4050,Château Batailley,91.6,60.4,91.5,57.0,14,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Pauillac']
4051,Château Beau Rivage,83.0,25.0,83.0,25.0,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Bordeaux Supérieur']
4052,Château Beau Soleil,88.0,,88.0,,2,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Pomerol']
4053,Château Beau-Site,91.0,41.0,91.0,41.0,2,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Saint-Estèphe']
4054,Château Beau-Séjour Bécot,93.7,62.8,93.5,60.5,12,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Saint-Émilion']
