,Winery,Points_Mean,Price_Mean,Points_Median,Price_Median,Total_Reviews,N_Varieties,Varieties,Country,Province,Region
14329,Michelle,86.7,13.5,86.5,13.5,6,1,['Sparkling Blend'],US,Washington,"['Columbia Valley (WA)', 'Columbia Valley']"
14330,Michlits,85.5,,85.5,,2,2,"['Red Blend', 'St. Laurent']",Austria,Burgenland,[]
14331,Michlits,85.5,13.5,85.5,13.5,2,2,"['Grüner Veltliner', 'Zweigelt']",Austria,Niederösterreich,[]
14332,Midalidare,89.5,70.0,89.5,70.0,2,2,"['Malbec', 'Red Blend']",Bulgaria,Thracian Valley,[]
14333,Middelvlei,84.5,16.8,85.0,17.0,4,4,"['Cabernet Sauvignon', 'Red Blend', 'Pinotage', 'Syrah']",South Africa,Stellenbosch,[]
14334,Middle Ridge,85.8,37.8,85.0,42.0,5,3,"['Merlot', 'Pinot Grigio', 'Cabernet Sauvignon']",US,California,"['Temecula Valley', 'South Coast']"
14335,Middle Sister,85.0,11.8,85.0,12.0,4,4,"['Pinot Grigio', 'Sauvignon Blanc', 'Cabernet Sauvignon', 'Pinot Noir']",US,California,"['California', 'California Other']"
14336,Midlife Crisis,83.5,20.0,83.5,20.0,2,2,"['Barbera', 'Sangiovese']",US,California,"['Paso Robles', 'Central Coast']"
14337,Midnight,85.8,33.1,85.0,29.0,93,18,"['Bordeaux-style Red Blend', 'Syrah', 'Cabernet Sauvignon', 'Sangiovese', 'Merlot', 'Zinfandel', 'Red Blend', 'Cabernet Franc', 'Chardonnay', 'Rhône-style White Blend', 'Petite Verdot', 'Malbec', 'Petite Sirah', 'Pinot Noir', 'White Blend', 'Port', 'Petit Verdot', 'Cabernet Blend']",US,California,"['Paso Robles', 'Central Coast']"
14338,Midolini,87.0,25.0,87.0,25.0,3,3,"['White Blend', 'Sauvignon', 'Pinot Grigio']",Italy,Northeastern Italy,['Colli Orientali del Friuli']
14339,Midsummer Cellars,89.3,42.1,90.0,44.0,22,4,"['Cabernet Sauvignon', 'Rhône-style White Blend', 'Grenache', 'Rosé']",US,California,"['Atlas Peak', 'Napa']"
14340,Mier Vini,83.0,,83.0,,1,1,['Aglianico'],Italy,Southern Italy,['Irpinia']
14341,Mignanelli,91.1,32.3,92.0,32.0,7,2,"['Chardonnay', 'Pinot Noir']",US,California,"['Santa Cruz Mountains', 'Central Coast']"
14342,Migration,90.3,48.4,90.0,55.0,39,2,"['Chardonnay', 'Pinot Noir']",US,California,"['Russian River Valley', 'Sonoma']"
14343,Miguel Arroyo Izquierdo,83.0,16.0,83.0,16.0,1,1,['Verdejo'],Spain,Northern Spain,['Rueda']
14344,Miguel Torres,85.9,16.1,86.0,12.0,30,10,"['Sauvignon Blanc', 'Red Blend', 'Cabernet Sauvignon', 'Shiraz', 'Syrah', 'Carmenère', 'Merlot', 'País', 'Gewürztraminer', 'Chardonnay']",Chile,Central Valley,[]
14345,Miguel Torres,84.5,17.0,84.5,17.0,2,2,"['Chardonnay-Viognier', 'Sparkling Blend']",Chile,Chile,[]
14346,Miguel Torres,87.7,28.5,88.0,22.5,34,10,"['Riesling', 'Red Blend', 'Cabernet Sauvignon', 'Chardonnay', 'Sauvignon Blanc', 'Gewürztraminer-Riesling', 'Rosé', 'Carmenère', 'Shiraz', 'Merlot']",Chile,Curicó Valley,[]
14347,Miguel Torres,86.0,23.0,86.0,23.0,1,1,['Pinot Noir'],Chile,Curicó and Maipo Valleys,[]
14348,Miguel Torres,83.0,,83.0,,1,1,['Muscat'],Chile,Itata Valley,[]
14349,Miguel Torres,89.0,23.0,89.0,23.0,2,1,['Chardonnay'],Chile,Limarí Valley,[]
14350,Miguel Torres,89.5,25.0,89.5,25.0,2,2,"['Carignan', 'Syrah']",Chile,Maule Valley,[]
14351,Mikami Vineyards,89.3,39.0,90.0,39.0,3,1,['Zinfandel'],US,California,"['Lodi', 'Central Valley']"
14352,Mike Ditka,87.0,50.0,87.0,50.0,2,2,"['Red Blend', 'Cabernet Sauvignon']",US,California,"['Mendocino', 'Mendocino/Lake Counties']"
14353,Mike and Molly Hendry,90.5,38.0,90.5,38.0,2,1,['Zinfandel'],US,California,"['Coombsville', 'Napa']"
14354,Miklus,87.0,42.5,87.0,42.5,2,2,"['Malvasia', 'Ribolla Gialla']",Italy,Northeastern Italy,['Collio']
14355,Mil Piedras,84.9,12.1,85.0,12.0,15,5,"['Cabernet Sauvignon', 'Merlot', 'Rosé', 'Viognier', 'Malbec']",Argentina,Mendoza Province,['Mendoza']
14356,Mila Vuolo,87.0,,87.0,,1,1,['Aglianico'],Italy,Southern Italy,['Campania']
14357,Milange,87.0,70.0,87.0,70.0,1,1,['Cabernet Sauvignon'],US,California,"['Napa Valley', 'Napa']"
14358,Milbrandt,88.3,23.2,88.0,21.0,90,15,"['Red Blend', 'Chardonnay', 'Viognier', 'Syrah', 'Cabernet Sauvignon', 'Merlot', 'Riesling', 'Pinot Gris', 'Bordeaux-style Red Blend', 'Malbec', 'Grenache', 'Rhône-style Red Blend', 'Rosé', 'Tempranillo', 'Primitivo']",US,Washington,"['Wahluke Slope', 'Columbia Valley']"
14359,Milcampos,85.7,22.3,86.0,18.0,3,1,['Tempranillo'],Spain,Northern Spain,['Ribera del Duero']
14360,Milenrama,87.5,16.5,87.5,16.5,2,1,['Tempranillo'],Spain,Northern Spain,['Rioja']
14361,Miles,86.0,25.0,86.0,25.0,3,3,"['Pinot Noir', 'Bordeaux-style Red Blend', 'Cabernet Franc']",US,New York,"['Finger Lakes', 'Finger Lakes']"
14362,Miles From Nowhere,88.0,13.0,88.0,13.0,1,1,['Shiraz'],Australia,Western Australia,['Margaret River']
14363,Miles Mossop,86.3,35.0,87.0,35.0,3,2,"['White Blend', 'Bordeaux-style Red Blend']",South Africa,Coastal Region,[]
14364,Mileto,88.0,21.0,88.0,21.0,1,1,['Tempranillo Blend'],Spain,Northern Spain,['Rioja']
14365,Milijan Jelić,87.0,26.0,87.0,26.0,1,1,['Morava'],Serbia,Pocerina,[]
14366,Mill Creek,85.6,21.4,85.5,19.5,18,7,"['Chardonnay', 'Cabernet Sauvignon', 'Sauvignon Blanc', 'Gewürztraminer', 'Merlot', 'Zinfandel', 'Syrah']",US,California,"['Dry Creek Valley', 'Sonoma']"
14367,Millaman,85.0,,85.0,,1,1,['Zinfandel'],Chile,Central Valley,[]
14368,Millaman,84.5,14.6,85.0,18.0,8,6,"['Cabernet Sauvignon', 'Cabernet Sauvignon-Malbec', 'Sauvignon Blanc', 'Malbec', 'Carmenère', 'Chardonnay']",Chile,Curicó Valley,[]
14369,Millaman,86.5,14.0,86.5,14.0,2,1,['Pinot Noir'],Chile,Leyda Valley,[]
14370,Millaman,83.5,12.5,83.5,12.5,2,2,"['Merlot', 'Carmenère']",Chile,Maule Valley,[]
14371,Millbrook,87.4,25.2,87.0,22.0,47,6,"['Riesling', 'Cabernet Franc', 'Pinot Noir', 'Merlot', 'Chardonnay', 'Tocai Friulano']",US,New York,"['Hudson River Region', 'New York Other']"
14372,Miller Wine Works,90.0,27.7,91.0,25.0,3,3,"['Grenache Blanc', 'Zinfandel', 'White Blend']",US,California,"['El Dorado', 'Sierra Foothills']"
14373,Milliaire,86.1,21.3,85.0,20.0,9,5,"['Cabernet Sauvignon', 'Zinfandel', 'Syrah', 'Petite Sirah', 'Pinot Noir']",US,California,"['Sierra Foothills', 'Sierra Foothills']"
14374,Mills Reef,87.8,19.9,88.0,17.0,17,6,"['Sauvignon Blanc', 'Chardonnay', 'Syrah', 'Cabernet Sauvignon-Merlot', 'Merlot-Malbec', 'Cabernet Merlot']",New Zealand,Hawke's Bay,[]
14375,Millton,88.4,25.8,88.5,30.0,10,5,"['Chardonnay', 'Riesling', 'Chenin Blanc', 'Viognier', 'Pinot Noir']",New Zealand,Gisborne,[]
14376,Millésimé,84.5,53.6,84.0,55.0,17,6,"['Red Blend', 'Bordeaux-style Red Blend', 'Syrah-Viognier', 'Syrah', 'Viognier', 'Cabernet Franc']",US,California,"['California', 'California Other']"
14377,Milo,89.0,23.0,89.0,23.0,1,1,['Malbec'],Argentina,Mendoza Province,['Mendoza']
14378,Miloš,89.0,42.0,89.0,42.0,2,1,['Plavac Mali'],Croatia,Peljesac,[]
14379,Milton Park,86.4,12.8,87.0,12.0,5,3,"['Shiraz', 'Riesling', 'Chardonnay']",Australia,South Australia,['South Australia']
14380,Milz-Lauretiushof,86.0,15.0,86.0,15.0,1,1,['Riesling'],Germany,Mosel-Saar-Ruwer,[]
14381,Milziade Antano,93.1,49.3,94.0,50.0,7,2,"['Sagrantino', 'Red Blend']",Italy,Central Italy,['Sagrantino di Montefalco']
14382,Minassian-Young,85.2,22.5,84.0,23.0,46,13,"['Grenache', 'Zinfandel', 'Mourvèdre', 'Rhône-style Red Blend', 'Cabernet Sauvignon', 'Rosé', 'Red Blend', 'Roussanne-Grenache Blanc', 'Tannat', 'Syrah', 'Rhône-style White Blend', 'Malbec', 'Alvarinho']",US,California,"['Paso Robles', 'Central Coast']"
14383,Mineo Family Vineyards,86.5,19.0,86.5,19.0,2,2,"[""Nero d'Avola"", 'Red Blend']",Italy,Sicily & Sardinia,['Sicilia']
14384,Mineo Family Vineyards,87.0,19.0,87.0,19.0,1,1,['Primitivo'],Italy,Southern Italy,['Salento']
14385,Miner,89.3,49.1,90.0,50.0,35,10,"['Pinot Noir', 'Bordeaux-style Red Blend', 'Grenache', 'Viognier', 'Cabernet Sauvignon', 'Merlot', 'Petite Sirah', 'Chardonnay', 'Cabernet Blend', 'Sauvignon Blanc']",US,California,"['Santa Lucia Highlands', 'Central Coast']"
14386,Mineral Wines,85.7,30.7,86.0,28.0,3,3,"['Merlot', 'Petite Sirah', 'Meritage']",US,California,"['Calaveras County', 'Sierra Foothills']"
14387,Minimus,89.2,36.0,89.0,40.0,5,5,"['Pinot Noir', 'Red Blend', 'Grüner Veltliner', 'Grenache', 'Chardonnay']",US,Oregon,"['Willamette Valley', 'Willamette Valley']"
14388,Ministry of the Vinterior,85.7,17.7,86.0,17.0,9,4,"['Pinot Noir', 'Cabernet Sauvignon', 'Chardonnay', 'Zinfandel']",US,California,"['Russian River Valley', 'Sonoma']"
14389,Minkov Brothers,87.8,19.4,88.0,19.0,5,5,"['Riesling', 'Cabernet Franc', 'Cabernet Sauvignon', 'Red Blend', 'Syrah']",Bulgaria,Thracian Valley,[]
14390,Miolo,84.2,33.2,85.5,31.5,4,3,"['Merlot-Cabernet Sauvignon', 'Chardonnay', 'Champagne Blend']",Brazil,Vale dos Vinhedos,[]
14391,Mionetto,84.0,10.0,84.0,10.0,1,1,['Moscato'],Italy,Northeastern Italy,['Delle Venezie']
14392,Mionetto,87.2,18.5,87.0,18.0,44,4,"['Glera', 'Sparkling Blend', 'Prosecco', 'Moscato']",Italy,Veneto,['Conegliano Valdobbiadene Prosecco Superiore']
14393,Miquel Pons,84.0,18.0,84.0,18.0,1,1,['Sparkling Blend'],Spain,Catalonia,['Cava']
14394,Mira,90.5,50.9,90.0,48.0,12,4,"['Chardonnay', 'Syrah', 'Pinot Noir', 'Cabernet Sauvignon']",US,California,"['Napa Valley', 'Napa']"
14395,Mirabeau,87.6,21.8,88.0,20.0,8,1,['Rosé'],France,Provence,['Côtes de Provence']
14396,Mirabelle,88.4,26.6,88.5,27.0,10,1,['Sparkling Blend'],US,California,"['California', 'California Other']"
14397,Mirabile,87.0,24.2,87.0,20.5,4,3,"[""Nero d'Avola"", 'Tannat', 'Red Blend']",Italy,Sicily & Sardinia,['Sicilia']
14398,Miracle Hill,88.0,45.0,88.0,45.0,1,1,['Syrah'],US,California,"['Sonoma Valley', 'Sonoma']"
14399,Miracle Valley,83.2,27.2,83.5,26.5,6,6,"['Merlot', 'Red Blend', 'Viognier', 'Cabernet Franc', 'Rosé', 'Cabernet Sauvignon']",US,Virginia,['Virginia']
14400,Miradou,85.5,11.5,85.5,11.5,2,1,['Rosé'],France,Provence,['Côtes de Provence']
14401,Mirafiore,91.6,98.8,91.0,100.0,11,2,"['Nebbiolo', 'Barbera']",Italy,Piedmont,['Barolo']
14402,Miraflores,89.8,29.4,90.0,28.0,35,15,"['Red Blend', 'Mourvèdre', 'Zinfandel', 'Syrah', 'Tempranillo', 'Petite Sirah', 'Meritage', 'Black Muscat', 'Semillon-Sauvignon Blanc', 'Rosé', 'Rhône-style Red Blend', 'Barbera', 'Viognier', 'Muscat Canelli', 'Malbec']",US,California,"['El Dorado', 'Sierra Foothills']"
14403,Miralta,90.0,25.0,90.0,25.0,1,1,['Rosé'],US,California,"['Monterey', 'Central Coast']"
14404,Miramont,82.0,25.0,82.0,25.0,1,1,['Cabernet Sauvignon'],US,California,"['Lodi', 'Central Valley']"
14405,Mirassou,85.0,12.7,85.0,12.0,50,10,"['Cabernet Sauvignon', 'Moscato', 'Riesling', 'Sauvignon Blanc', 'Pinot Grigio', 'Pinot Blanc', 'Pinot Noir', 'Chardonnay', 'Merlot', 'Red Blend']",US,California,"['California', 'California Other']"
14406,Miro,88.1,27.4,88.0,28.0,31,6,"['Petite Sirah', 'Zinfandel', 'Rhône-style Red Blend', 'Cabernet Sauvignon', 'Pinot Noir', 'G-S-M']",US,California,"['Dry Creek Valley', 'Sonoma']"
14407,Miroballi Wines,92.0,25.0,92.0,25.0,1,1,['Grenache Blanc'],US,California,"['Santa Ynez Valley', 'Central Coast']"
14408,Mirone,85.0,9.0,85.0,9.0,2,1,['Garnacha'],Spain,Northern Spain,['Campo de Borja']
14409,Mirror,92.0,85.0,92.5,90.0,8,2,"['Cabernet Sauvignon', 'Chardonnay']",US,California,"['Napa Valley', 'Napa']"
14410,Mirus,87.0,,87.0,,1,1,['Red Blend'],Italy,Tuscany,['Maremma Toscana']
14411,Mirù,94.0,33.0,94.0,33.0,1,1,['Red Blend'],Italy,Piedmont,['Ghemme']
14412,Misiones de Rengo,89.0,13.0,89.0,13.0,1,1,['Sauvignon Blanc'],Chile,Casablanca Valley,[]
14413,Misiones de Rengo,85.8,10.8,85.0,10.0,8,4,"['Cabernet Sauvignon', 'Carmenère', 'Chardonnay', 'Sauvignon Blanc']",Chile,Central Valley,[]
14414,Misiones de Rengo,87.0,20.0,87.0,20.0,2,1,['Chardonnay'],Chile,Leyda Valley,[]
14415,Misiones de Rengo,87.7,18.4,88.0,20.0,9,3,"['Carmenère', 'Cabernet Sauvignon', 'Cabernet Sauvignon-Syrah']",Chile,Rapel Valley,[]
14416,Mission Estate,88.0,21.7,87.5,18.0,8,4,"['Cabernet Sauvignon', 'Syrah', 'Chardonnay', 'Merlot-Cabernet Franc']",New Zealand,Hawke's Bay,[]
14417,Mission Hardware,85.0,14.0,85.0,14.0,1,1,['Red Blend'],US,California,"['Sonoma Valley', 'Sonoma']"
14418,Mission Hill,90.0,51.2,90.0,50.0,14,7,"['Bordeaux-style Red Blend', 'Riesling', 'Merlot', 'Chardonnay', 'Pinot Noir', 'Sauvignon Blanc', 'Vidal']",Canada,British Columbia,['Okanagan Valley']
14419,Mission Park,86.0,8.0,86.0,8.0,1,1,['Red Blend'],US,California,"['Central Coast', 'Central Coast']"
14420,Mission Trail,80.8,25.5,80.5,24.0,4,4,"['Sauvignon Blanc', 'Zinfandel', 'Syrah', 'Garnacha']",US,California,"['Monterey County', 'Central Coast']"
14421,Mistinguett,87.0,16.2,87.0,17.0,4,1,['Sparkling Blend'],Spain,Catalonia,['Cava']
14422,Mistress,92.0,42.0,92.0,42.0,1,1,['Pinot Noir'],US,California,"['Santa Barbara County', 'Central Coast']"
14423,Misty Cove,89.0,25.0,89.0,25.0,1,1,['Pinot Noir'],New Zealand,Marlborough,[]
14424,Mitchell,90.0,17.5,90.0,17.5,2,1,['Riesling'],Australia,South Australia,['Clare Valley']
14425,Mitchell Katz Winery,86.0,23.0,86.0,23.0,2,2,"['Cabernet Sauvignon', 'Sangiovese']",US,California,"['Livermore Valley', 'Central Coast']"
14426,Mitchelton,89.0,27.2,90.0,26.5,5,2,"['Shiraz', 'Marsanne']",Australia,Victoria,['Central Victoria']
14427,Mithra,94.5,190.0,94.5,190.0,2,1,['Cabernet Sauvignon'],US,California,"['Mount Veeder', 'Napa']"
14428,Mitolo,89.3,39.7,90.0,38.5,30,6,"['Shiraz', 'Cabernet Sauvignon', 'Vermentino', 'Sangiovese', 'Rosé', 'Grenache-Shiraz']",Australia,South Australia,['McLaren Vale']
14429,Mittnacht Frères,88.9,24.6,89.0,23.0,9,5,"['Riesling', 'Pinot Gris', 'White Blend', 'Gewürztraminer', 'Pinot Blanc']",France,Alsace,['Alsace']
14430,Mixed Bag,84.0,10.0,84.0,10.0,2,2,"['Red Blend', 'White Blend']",US,California,"['California', 'California Other']"
14431,Mizzon,90.0,,90.0,,1,1,"['Corvina, Rondinella, Molinara']",Italy,Veneto,['Valpolicella Classico Superiore Ripasso']
14432,Mme Aly Duhr et Fils,87.0,40.7,87.0,36.0,3,2,"['Pinot Gris', 'Riesling']",Luxembourg,Moselle Luxembourgeoise,[]
14433,Mocali,88.9,37.9,88.0,37.5,45,6,"['Sangiovese Grosso', 'Moscadello', 'Red Blend', 'Sangiovese', 'White Blend', 'Vermentino']",Italy,Tuscany,['Brunello di Montalcino']
14434,Mocavero,85.5,29.2,86.0,23.0,13,4,"['Negroamaro', 'Red Blend', 'Primitivo', 'Chardonnay']",Italy,Southern Italy,['Salento']
14435,Moccagatta,91.2,59.1,92.0,60.0,13,1,['Nebbiolo'],Italy,Piedmont,['Barbaresco']
14436,Mochetto,85.0,17.0,85.0,17.0,1,1,['Moscato'],Italy,Northeastern Italy,['Delle Venezie']
14437,Mocine,87.3,23.3,87.0,19.0,3,1,['Red Blend'],Italy,Tuscany,['Toscana']
14438,Mockingbird,89.5,150.0,89.5,150.0,2,1,['Cabernet Sauvignon'],US,California,"['Napa Valley', 'Napa']"
14439,Mocén,84.7,21.0,85.0,20.0,3,1,['Verdejo'],Spain,Northern Spain,['Rueda']
14440,Modus Operandi,92.7,47.7,93.0,45.0,3,3,"['Sauvignon Blanc', 'Red Blend', 'Cabernet Sauvignon']",US,California,"['Rutherford', 'Napa']"
14441,Moffett,88.0,40.0,88.0,40.0,1,1,['Syrah'],US,California,"['Oak Knoll District', 'Napa']"
14442,Mogollon,87.0,16.0,87.0,16.0,1,1,['Malbec'],Argentina,Mendoza Province,['Uco Valley']
14443,Mogor Badan,86.0,35.0,86.0,35.0,1,1,['Red Blend'],Mexico,Valle de Guadalupe,[]
14444,Mohua,85.0,17.3,85.0,17.0,3,3,"['Pinot Noir', 'Riesling', 'Pinot Gris']",New Zealand,Central Otago,[]
14445,Mohua,87.5,13.0,87.5,13.0,2,1,['Sauvignon Blanc'],New Zealand,Marlborough,[]
14446,Moillard,88.0,81.0,88.0,81.0,3,1,['Pinot Noir'],France,Burgundy,['Savigny-lès-Beaune']
14447,Moingeon,86.0,,86.0,,1,1,['Champagne Blend'],France,Burgundy,['Crémant de Bourgogne']
14448,Mojon's Bench,87.0,32.0,87.0,32.0,2,2,"['Red Blend', 'Merlot']",US,California,"['Alexander Valley', 'Sonoma']"
14449,Mola,86.0,44.0,86.0,44.0,1,1,['Aleatico'],Italy,Tuscany,"[""Aleatico dell'Elba""]"
14450,Moletto,89.0,,89.0,,1,1,['Pinot Bianco'],Italy,Italy Other,['Italy']
14451,Moletto,86.9,23.8,87.0,16.0,27,13,"['Sparkling Blend', 'Tocai Rosso', 'Raboso', 'Glera', 'Sauvignon', 'Prosecco', 'Pinot Grigio', 'Franconia', 'Merlot', 'Pinot Bianco', 'Cabernet Sauvignon', 'Chardonnay', 'Red Blend']",Italy,Veneto,['Veneto']
14452,Molinari Carlo,89.0,80.0,89.0,80.0,1,1,['Sangiovese'],Italy,Tuscany,['Brunello di Montalcino']
14453,Molino,88.8,38.3,89.0,40.0,8,1,['Nebbiolo'],Italy,Piedmont,['Barbaresco']
14454,Molino di Sant'Antimo,90.5,38.1,90.0,40.0,17,2,"['Sangiovese', 'Sangiovese Grosso']",Italy,Tuscany,['Brunello di Montalcino']
14455,Mollie,92.5,32.0,93.5,31.0,4,3,"['Pinot Noir', 'Chardonnay', 'Cabernet Sauvignon']",US,California,"['Sta. Rita Hills', 'Central Coast']"
14456,Molliver Vineyards,85.0,12.7,86.0,11.0,3,3,"['Norton', 'Chambourcin', 'Vidal Blanc']",US,Virginia,['Virginia']
14457,Mollydooker,88.6,65.7,89.0,49.0,7,6,"['Shiraz', 'Cabernet Sauvignon', 'Verdelho', 'Shiraz-Cabernet', 'Red Blend', 'Sparkling Blend']",Australia,South Australia,['McLaren Vale']
14458,Molnar Family,88.2,27.2,89.0,27.5,8,2,"['Pinot Noir', 'Chardonnay']",US,California,"['Carneros', 'Napa-Sonoma']"
14459,Molí dels Capellans,90.0,25.0,90.0,25.0,1,1,['Trepat'],Spain,Catalonia,['Conca de Barberà']
14460,Mommessin,87.5,14.3,88.0,15.0,11,1,['Gamay'],France,Beaujolais,['Beaujolais']
14461,Mommessin,86.9,19.7,87.0,18.0,8,3,"['Pinot Noir', 'Chardonnay', 'Gamay']",France,Burgundy,['Bourgogne']
14462,Mommessin,82.8,7.5,83.0,7.5,4,3,"['Cabernet Sauvignon', 'Merlot', 'Chardonnay']",France,Languedoc-Roussillon,"[""Vin de Pays d'Oc""]"
14463,Mommessin,84.0,8.0,84.0,8.0,1,1,['Rhône-style Red Blend'],France,Rhône Valley,['Côtes du Rhône']
14464,MommyJuice,84.0,10.0,84.0,10.0,2,2,"['White Blend', 'Red Blend']",US,California,"['Central Coast', 'Central Coast']"
14465,Momo,86.7,23.0,86.0,23.0,3,1,['Pinot Noir'],New Zealand,Marlborough,[]
14466,Monasterio de las Viñas,85.4,16.4,86.0,16.0,5,2,"['Garnacha-Syrah', 'Red Blend']",Spain,Northern Spain,['Cariñena']
14467,Monastir,87.8,17.2,87.0,17.0,4,3,"['Tempranillo', 'Red Blend', 'Garnacha']",Spain,Northern Spain,['Cariñena']
14468,Moncaro,88.4,29.0,88.0,31.0,8,3,"['Montepulciano', 'Red Blend', 'Verdicchio']",Italy,Central Italy,['Conero Riserva']
14469,Monchiero,89.5,42.0,90.0,40.0,10,2,"['Barbera', 'Nebbiolo']",Italy,Piedmont,"[""Barbera d'Alba Superiore""]"
14470,Monchiero Carbone,88.1,29.7,88.0,22.5,10,3,"['Nebbiolo', 'Arneis', 'Barbera']",Italy,Piedmont,['Langhe']
14471,Moncigale,87.8,12.0,88.0,12.5,8,1,['Rosé'],France,Provence,['Côtes de Provence']
14472,Mondavi/Rosemount,86.0,15.0,86.0,15.0,1,1,['Shiraz'],Australia,Australia Other,['South Eastern Australia']
14473,Mondet,88.5,43.0,88.5,43.0,2,1,['Champagne Blend'],France,Champagne,['Champagne']
14474,Mondo del Vino,86.0,12.0,86.0,12.0,1,1,['Montepulciano'],Italy,Central Italy,"[""Montepulciano d'Abruzzo""]"
14475,Mondo del Vino,85.0,11.0,85.0,11.0,1,1,['Primitivo'],Italy,Southern Italy,['Salento']
14476,Mondoro,84.0,15.0,84.0,15.0,1,1,['Moscato'],Italy,Piedmont,['Asti']
14477,Monemvasia,90.0,40.0,90.0,40.0,1,1,['Red Blend'],Greece,Lakonia,[]
14478,Monfalletto,92.0,,92.0,,1,1,['Nebbiolo'],Italy,Piedmont,['Barolo']
14479,Monfil,88.0,11.0,88.0,11.0,1,1,['Garnacha'],Spain,Northern Spain,['Cariñena']
14480,Monfort-Bellevue,86.0,20.0,86.0,20.0,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Médoc']
14481,Mongarda,91.0,15.0,91.0,15.0,1,1,['Glera'],Italy,Northeastern Italy,['Colli Trevigiani']
14482,Mongarda,90.7,18.7,90.0,16.0,3,1,['Glera'],Italy,Veneto,['Valdobbiadene Prosecco Superiore']
14483,Mongioia,90.0,31.0,90.0,31.0,2,1,['Moscato'],Italy,Piedmont,"[""Moscato d'Asti""]"
14484,Moniker,89.1,26.0,90.0,25.0,9,3,"['Chardonnay', 'Cabernet Sauvignon', 'Pinot Noir']",US,California,"['Mendocino County', 'Mendocino/Lake Counties']"
14485,Monkey Bay,84.0,11.0,84.0,11.0,1,1,['Chardonnay'],New Zealand,East Coast,[]
14486,Monkey Bay,86.0,10.3,86.0,10.0,3,1,['Sauvignon Blanc'],New Zealand,Marlborough,[]
14487,Monkey Tree,83.0,15.0,83.0,15.0,1,1,['Red Blend'],Chile,Loncomilla Valley,[]
14488,Monmousseau,84.7,12.0,85.0,12.0,3,2,"['Sparkling Blend', 'Chenin Blanc']",France,France Other,['Vin Mousseux']
14489,Monmousseau,87.9,16.5,88.0,17.5,10,4,"['White Blend', 'Chenin Blanc', 'Sparkling Blend', 'Sauvignon Blanc']",France,Loire Valley,['Crémant de Loire']
14490,Monochrome,91.2,42.8,91.5,43.0,4,2,"['White Blend', 'Chardonnay']",US,California,"['California', 'California Other']"
14491,Monogamy,84.2,12.8,84.5,12.5,4,1,['Cabernet Sauvignon'],US,California,"['North Coast', 'North Coast']"
14492,Monogram,88.0,37.8,88.0,39.0,4,1,['Sparkling Blend'],Italy,Lombardy,['Franciacorta']
14493,Monpissan,88.0,,88.0,,1,1,['Nebbiolo'],Italy,Piedmont,['Roero']
14494,Monsieur Touton,85.0,11.0,85.0,11.0,1,1,['Rosé'],France,Bordeaux,['Bordeaux Rosé']
14495,Mont Destin,82.0,32.0,82.0,32.0,1,1,['Cabernet Sauvignon-Shiraz'],South Africa,Paarl,[]
14496,Mont Gravet,85.0,9.0,85.0,9.0,2,1,['Rosé'],France,Languedoc-Roussillon,"[""Pays d'Oc""]"
14497,Mont Gravet,86.2,8.8,86.0,9.0,5,1,['Colombard'],France,Southwest France,['Côtes de Gascogne']
14498,Mont Marçal,87.1,19.5,87.0,18.0,17,2,"['Sparkling Blend', 'Trepat']",Spain,Catalonia,['Cava']
14499,Mont Paral,84.7,15.0,84.0,15.0,3,1,['Sparkling Blend'],Spain,Catalonia,['Cava']
14500,Mont Rubí,87.0,18.0,87.0,18.0,1,1,['Xarel-lo'],Spain,Catalonia,['Penedès']
14501,Mont Saint-Vincent,81.0,7.0,81.0,7.0,1,1,['Syrah'],France,Languedoc-Roussillon,"[""Vin de Pays d'Oc""]"
14502,Mont Sec,85.0,14.0,85.0,14.0,1,1,['Viognier'],US,Texas,['Texas']
14503,Mont Tauch,84.0,15.7,84.0,11.0,7,6,"['Sauvignon Blanc', 'Merlot', 'Cabernet Sauvignon', 'Rhône-style Red Blend', 'Red Blend', 'Rosé']",France,Languedoc-Roussillon,"[""Vin de Pays d'Oc""]"
14504,Mont-Ferrant,88.0,19.7,88.0,16.0,3,1,['Sparkling Blend'],Spain,Catalonia,['Cava']
14505,MontGras,85.5,12.5,85.5,12.5,2,1,['Sauvignon Blanc'],Chile,Casablanca Valley,[]
14506,MontGras,90.0,16.0,90.0,16.0,1,1,['Red Blend'],Chile,Central Valley,[]
14507,MontGras,86.0,16.0,86.0,16.0,1,1,['Cabernet Sauvignon-Carmenère'],Chile,Chile,[]
14508,MontGras,86.3,13.8,86.0,13.0,39,8,"['Chardonnay', 'Cabernet Sauvignon', 'Carmenère', 'Cabernet Sauvignon-Syrah', 'Red Blend', 'Merlot', 'Rhône-style Red Blend', 'Syrah']",Chile,Colchagua Valley,[]
14509,MontGras,86.0,12.0,86.0,12.0,2,1,['Sauvignon Blanc'],Chile,Leyda Valley,[]
14510,MontGras,89.7,58.3,90.0,66.0,3,1,['Cabernet Sauvignon'],Chile,Maipo Valley,[]
14511,MontGras,84.5,12.0,84.5,12.0,2,1,['Sauvignon Blanc'],Chile,San Antonio,[]
14512,Montage,85.3,12.0,86.0,11.0,3,2,"['Cabernet Sauvignon', 'Chardonnay']",US,California,"['California', 'California Other']"
