Winery,Country,Province,Mean_Price,Mean_Points,Wines,Variety_Count
Bodega NQN,Argentina,Other,13.695652173913043,86.6086956521739,23,7
Villacezan,Spain,Northern Spain,13.7,83.8,10,5
Goats do Roam Wine Co.,South Africa,Coastal Region,13.7,86.2,10,7
Bodegas Luzón,Spain,Levante,13.724137931034482,87.17241379310344,29,6
Jean-Luc and Paul Aegerter,France,Provence,13.75,85.75,4,1
My Big Fat Greek Wine,Greece,Peloponnese,13.75,85.5,4,4
TerraMater,Chile,Central Valley,13.75,83.75,4,4
Corte alla Flora,Italy,Tuscany,13.75,86.5,4,1
Bougrier,France,Loire Valley,13.75,84.375,32,5
Messias,Portugal,Douro,13.75,87.5,14,2
Sula,India,Nashik,13.75,90.25,8,3
OZV,US,California,13.75,85.5,4,3
Baron Philippe de Rothschild,Chile,Maipo Valley,13.75,85.75,4,3
Schuchmann Wines,Georgia,Kakheti,13.75,88.0,6,5
Cermeño,Spain,Northern Spain,13.75,85.0,4,2
Brotherhood,US,New York,13.764705882352942,83.88235294117646,17,6
Château Cabezac,France,Languedoc-Roussillon,13.777777777777779,87.5,18,5
Hyatt,US,Washington,13.782608695652174,86.43478260869566,23,8
MontGras,Chile,Colchagua Valley,13.794871794871796,86.25641025641026,39,8
Château Queyssard,France,Bordeaux,13.8,85.14285714285714,7,3
Château Haut Bessac,France,Bordeaux,13.8,85.5,6,3
Quinta da Calçada,Portugal,Vinho Verde,13.8,84.85714285714286,7,2
Villa Pillo,Italy,Tuscany,13.8,87.5,16,5
Bliss,US,California,13.8,84.3,10,6
El Solar de Orfila,Argentina,Mendoza Province,13.8,85.4,5,3
VinEcol,Argentina,Mendoza Province,13.818181818181818,83.0,11,5
Girasole,US,California,13.821428571428571,86.35714285714286,28,7
Lapis Luna,US,California,13.833333333333334,83.33333333333333,6,3
Zacharias,Greece,Peloponnese,13.833333333333334,88.33333333333333,6,5
Alamos,Argentina,Mendoza Province,13.838709677419354,86.38709677419355,31,8
Esser,US,California,13.842105263157896,85.21052631578948,19,6
Peter Mertes,Germany,Mosel,13.857142857142858,87.85714285714286,7,1
Masseria del Feudo,Italy,Sicily & Sardinia,13.857142857142858,86.57142857142857,7,3
Gorgo,Italy,Veneto,13.857142857142858,86.25,8,4
Sierra Batuco,Chile,Maule Valley,13.857142857142858,86.42857142857143,7,5
Tommasi,Italy,Northeastern Italy,13.866666666666667,86.0,15,4
Kirkland Signature,US,California,13.870967741935484,85.85483870967742,62,8
Nugan Family Estates,Australia,Australia Other,13.875,85.875,8,4
Château Vrai Caillou,France,Bordeaux,13.88888888888889,85.22222222222223,9,2
Domaine Ste. Michelle,US,Washington,13.88888888888889,86.11111111111111,18,3
Domaine d'Arton,France,Southwest France,13.9,87.07692307692308,13,5
Winzerkeller Andau,Austria,Burgenland,13.916666666666666,88.16666666666667,12,7
Schäfer,Germany,Rheinhessen,13.916666666666666,87.41666666666667,12,5
Robertson Winery,South Africa,Robertson,13.916666666666666,86.02777777777777,36,9
Domaines Paul Mas,France,Languedoc-Roussillon,13.923076923076923,86.57142857142857,14,9
Falua,Portugal,Tejo,13.926829268292684,86.37777777777778,45,10
Paul Cheneau,Spain,Catalonia,13.928571428571429,85.64285714285714,14,2
Producta Vignobles,France,Bordeaux,13.941176470588236,85.55555555555556,18,4
El Toqui,Chile,Rapel Valley,14.0,84.0,1,1
Electra,US,California,14.0,90.0,1,1
Methymnaeos,Greece,Lesbos,14.0,84.0,2,2
Millaman,Chile,Leyda Valley,14.0,86.5,2,1
EBGB,Chile,Central Valley,14.0,83.0,1,1
Château Gantonnet,France,Bordeaux,14.0,85.0,1,1
Domaine Guenault,France,Loire Valley,14.0,86.0,1,1
Château Genlaire,France,Bordeaux,14.0,88.0,1,1
La Cheteau,France,France Other,14.0,83.0,1,1
Harlaftis,Greece,Nemea,14.0,84.0,1,1
Maysie Cellars,US,California,14.0,87.0,1,1
Domaine La Jeanne,France,Languedoc-Roussillon,14.0,86.0,1,1
Les Vignerons des Terroirs de la Noëlle,France,Loire Valley,14.0,86.375,8,2
Domaine La Tour de Gâtigne,France,Rhône Valley,14.0,85.0,1,1
Matua Valley,New Zealand,Eastern Bays,14.0,86.0,2,2
Matua,New Zealand,Marlborough,14.0,85.5,2,2
Le Fleuron,Lebanon,Bekaa Valley,14.0,82.0,1,1
Château Chaubinet,France,Bordeaux,14.0,86.0,2,2
Mission Hardware,US,California,14.0,85.0,1,1
Element,Australia,Western Australia,14.0,86.5,2,2
Domaine André Colonge,France,Beaujolais,14.0,85.66666666666667,3,1
DFJ Vinhos,Portugal,Ribatejo,14.0,87.0,1,1
Kirnbauer,Austria,Mittelburgenland,14.0,86.33333333333333,3,1
Dachshund,US,California,14.0,87.5,2,2
Emiliana,Chile,San Antonio,14.0,88.0,1,1
Nastl,Austria,Kamptal,14.0,90.33333333333333,3,2
Château Caville,France,Bordeaux,14.0,84.0,1,1
Finke's Widow,US,California,14.0,87.0,1,1
Finca la Malena,Argentina,Mendoza Province,14.0,86.0,1,1
Elki,Chile,Elqui Valley,14.0,85.66666666666667,3,3
Muirwood,US,California,14.0,85.6,10,5
Les Dauphins,France,Rhône Valley,14.0,87.0,1,1
Finca Los Olmos,Argentina,Mendoza Province,14.0,82.0,1,1
Moon Eyes,US,California,14.0,90.0,1,1
Destello,Spain,Catalonia,14.0,85.0,2,1
Hauer of the Dauen,US,Oregon,14.0,83.0,2,1
Rocca del Dragone,Italy,Southern Italy,14.0,87.0,1,1
Montemar,Chile,Leyda Valley,14.0,87.0,1,1
Leatherwood,South Africa,Western Cape,14.0,87.0,2,2
Montemar,Chile,Colchagua Valley,14.0,86.0,1,1
Montelvini,Italy,Veneto,14.0,86.66666666666667,3,2
Montecillo,Spain,Galicia,14.0,87.5,2,1
Kris,Italy,Sicily & Sardinia,14.0,87.0,1,1
Discreto,Chile,Sagrada Familia,14.0,86.0,1,1
Mont Sec,US,Texas,14.0,85.0,1,1
Château Chamaille,France,Bordeaux,14.0,88.0,1,1
Fidelity,US,California,14.0,87.75,4,2
Domaine Martin,France,Loire Valley,14.0,88.0,6,1
Domaine Talmard,France,Burgundy,14.0,85.75,4,1
Mas de Guiot,France,Rhône Valley,14.0,88.0,1,1
Château Ducla,France,Bordeaux,14.0,86.16666666666667,6,2
Château Dina,France,Bordeaux,14.0,82.0,1,1
Domaine la Croix Chaptal,France,Languedoc-Roussillon,14.0,87.0,1,1
Domaine la Croix des Marchands,France,Southwest France,14.0,84.0,1,1
Château Dame Jane,France,Bordeaux,14.0,84.0,2,2
Echeverria,Chile,Colchagua Costa,14.0,89.0,1,1
Domaine la Grand'Vigne,France,Provence,14.0,90.0,1,1
LaLuca,Italy,Veneto,14.0,86.0,1,1
MC2,US,California,14.0,86.0,1,1
Domecq,Spain,Andalucia,14.0,88.0,2,1
Echeverria,Chile,Casablanca Valley,14.0,84.75,4,3
Rutherglen Estates,Australia,Victoria,14.0,86.0,1,1
Echeverria,Chile,Aconcagua Valley,14.0,89.0,1,1
Eagle Crest,US,New York,14.0,85.0,1,1
Evaia,Spain,Northern Spain,14.0,88.0,1,1
EXP,US,California,14.0,84.0,1,1
Dragani,Italy,Central Italy,14.0,87.0,1,1
Dragonfly Creek,US,Oregon,14.0,83.5,2,2
Château Coste Peyrouse,France,Southwest France,14.0,88.5,2,1
Dundee Springs,US,Oregon,14.0,85.5,2,2
Escher Haus,Germany,Rheinhessen,14.0,89.0,1,1
Duo,Chile,Casablanca Valley,14.0,85.0,1,1
ENSO,US,Washington-Oregon,14.0,88.0,1,1
Duo,Chile,Maipo Valley,14.0,88.0,1,1
Las Rocas de San Alejandro,Spain,Catalonia,14.0,85.0,1,1
Dão Sul,Portugal,Minho,14.0,88.0,1,1
Dürnberg,Austria,Weinland Österreich,14.0,88.0,1,1
Magnolia Court,US,California,14.0,83.71428571428571,7,4
La Courtade,France,Provence,14.0,83.0,1,1
Royal de Jarras,France,Languedoc-Roussillon,14.0,89.0,1,1
Maison Denuzière,France,Rhône Valley,14.0,90.0,1,1
Les Vins Bréban,France,France Other,14.0,86.5,2,1
Fattoria di San Quintino,Italy,Tuscany,14.0,84.66666666666667,3,2
La Fleur Ribeyrolles,France,Bordeaux,14.0,86.0,2,2
Domaine Sangouard,France,Beaujolais,14.0,90.0,1,1
Fattoria Uccelliera,Italy,Tuscany,14.0,86.0,1,1
Lobster Key,New Zealand,East Coast,14.0,82.0,1,1
Château Fontana,France,Bordeaux,14.0,88.0,1,1
Marq,US,California,14.0,83.5,2,2
Mark West,US,California,14.0,84.14285714285714,7,3
La Mozza,Italy,Tuscany,14.0,87.0,3,2
Château Fleur de Charme,France,Bordeaux,14.0,85.0,1,1
SKN,US,California,14.0,84.83333333333333,6,4
Fattoria Giuseppe Savini,Italy,Veneto,14.0,82.0,1,1
Lion Valley,US,Oregon,14.0,83.0,1,1
Domaine de Fonfile,France,Languedoc-Roussillon,14.0,86.5,2,2
Domaine de Viranel,France,Languedoc-Roussillon,14.0,86.0,1,1
La Riva dei Frati,Italy,Veneto,14.0,85.5,4,2
Família Oliveda,Spain,Catalonia,14.0,83.5,2,1
Château Clos Bourbon,France,Bordeaux,14.0,85.0,3,1
Domaine de la Guicharde,France,Rhône Valley,14.0,91.0,1,1
Familia Solana,Spain,Northern Spain,14.0,85.0,1,1
Le Bord'eau du Clos des Moiselles,France,Bordeaux,14.0,88.0,1,1
La Vida,Spain,Northern Spain,14.0,85.0,1,1
Domaine de la Tourmaline,France,Loire Valley,14.0,88.0,2,1
Famiglia Meschini,Chile,Casablanca Valley,14.0,83.5,2,2
Domaine des Mouilles,France,Beaujolais,14.0,85.0,2,2
La Vidaubanaise,France,Provence,14.0,86.0,1,1
Domaine du Salvard,France,Loire Valley,14.0,87.0,2,2
Nelson Bay,New Zealand,Nelson,14.0,86.66666666666667,3,3
Château Loumelat,France,Bordeaux,14.0,87.25,4,3
Neveu,US,California,14.0,81.5,2,2
Henrique José de La Puente Sancho Uva,Portugal,Alentejano,14.0,86.75,4,2
Ponte Vecchio,Spain,Spain Other,14.0,82.0,1,1
Pooles Rock Wines,Australia,South Australia,14.0,85.0,1,1
Republic of Wine,France,Rhône Valley,14.0,87.0,1,1
Porca de Murça,Portugal,Douro,14.0,87.75,4,2
René Sparr,France,Alsace,14.0,86.5,6,5
Porto Reccua Vinhos,Portugal,Port,14.0,86.5,2,1
Goats do Roam Wine Co.,South Africa,Paarl,14.0,87.0,1,1
Herdade da Capela,Portugal,Alentejano,14.0,87.0,2,1
Château de Lardiley,France,Bordeaux,14.0,85.0,6,3
Hunt Country Vineyards,US,New York,14.0,84.77777777777777,9,4
Château de Genibon,France,Bordeaux,14.0,88.0,2,1
Château Lagrange Monbadon,France,Bordeaux,14.0,88.0,1,1
Hungerford Hill,Australia,Australia Other,14.0,88.5,2,2
Prima Cuvee,Italy,Veneto,14.0,86.0,1,1
Gräflich von Hohenthal'Scher,Germany,Mosel-Saar-Ruwer,14.0,89.0,2,1
Château de Caraguilhes,France,Languedoc-Roussillon,14.0,87.0,1,1
Polkura,Chile,Leyda Valley,14.0,82.0,1,1
Resta,Italy,Southern Italy,14.0,85.0,1,1
Reula,Spain,Northern Spain,14.0,81.5,2,2
Giovello,Italy,Italy Other,14.0,84.0,1,1
Château la Fleur Bellevue,France,Bordeaux,14.0,85.0,1,1
Château la Croix St-Pierre,France,Bordeaux,14.0,89.0,1,1
Château l'Escadre,France,Bordeaux,14.0,87.0,1,1
Pitars,Italy,Northeastern Italy,14.0,85.8,5,3
Château du Seguinier,France,Bordeaux,14.0,87.0,1,1
Restivo,Argentina,Other,14.0,86.0,4,2
Château du Juge,France,Bordeaux,14.0,88.5,2,1
I Feudi di Romans,Italy,Northeastern Italy,14.0,87.0,1,1
Château du Bois Chantant,France,Bordeaux,14.0,86.5,6,1
Glen Carlou,South Africa,Coastal Region,14.0,87.0,1,1
Château des Antonins,France,Bordeaux,14.0,85.6,5,3
Podrumi Belje,Croatia,Podunavlje,14.0,84.5,2,2
Grÿphus,Chile,Rapel Valley,14.0,83.0,1,1
Henri Ehrhart,France,Alsace,14.0,91.0,2,1
Château la Rose du Pin,France,Bordeaux,14.0,85.5,2,1
Principiano,Italy,Piedmont,14.0,87.0,1,1
Prophecy,New Zealand,Marlborough,14.0,90.0,1,1
Château Portillon,France,Bordeaux,14.0,86.0,1,1
Grandmaster,US,Oregon,14.0,87.0,2,2
Quintay,Chile,Maipo Valley,14.0,85.5,2,1
Grandmaster,US,Washington,14.0,86.0,1,1
R Collection,US,California,14.0,84.5,2,2
Château Pey La Tour,France,Bordeaux,14.0,85.0,1,1
Red Rock,Argentina,Mendoza Province,14.0,84.0,1,1
Green Truck,US,California,14.0,81.83333333333333,6,5
R8,US,California,14.0,84.0,2,2
High Desert,Argentina,Mendoza Province,14.0,81.5,2,2
RR,Germany,Nahe,14.0,86.0,1,1
Racemi,Italy,Southern Italy,14.0,86.0,1,1
HigHDef,Germany,Mosel,14.0,87.66666666666667,3,1
Rain,New Zealand,Marlborough,14.0,87.0,1,1
Château Mougneaux,France,Bordeaux,14.0,86.0,2,1
Château Puy Marceau,France,Bordeaux,14.0,85.0,1,1
Château Lamothe Castera,France,Bordeaux,14.0,85.0,2,1
Quinta de Aves,Spain,Central Spain,14.0,83.0,1,1
Quinta da Romeira,Portugal,Bucelas,14.0,87.66666666666667,6,1
Gotham,Australia,South Australia,14.0,85.75,4,3
Prophecy,US,America,14.0,86.0,1,1
Prophecy,US,California,14.0,87.0,3,2
Pugliese,US,New York,14.0,83.0,1,1
Château Viella,France,Southwest France,14.0,89.0,2,2
Château Vessière,France,Rhône Valley,14.0,85.0,2,2
Pure,US,California,14.0,84.5,4,4
Goundrey,Australia,Western Australia,14.0,86.5,2,2
Q & A,US,California,14.0,85.0,1,1
Château Tour le Pin,France,Bordeaux,14.0,86.0,2,2
Château Laroche Joubert,France,Bordeaux,14.0,86.0,1,1
Château Tour Saint Germain,France,Bordeaux,14.0,87.5,2,1
Hinman,US,Oregon,14.0,85.66666666666667,3,2
Château Sainte-Béatrice,France,Provence,14.0,87.6,5,1
Château Sainte Marie,France,Bordeaux,14.0,88.16666666666667,6,3
Château Saint Baulery,France,Languedoc-Roussillon,14.0,88.0,2,1
Château Haut Clairbes,France,Bordeaux,14.0,86.0,1,1
Château la Voie,France,Bordeaux,14.0,86.0,1,1
Château les Mottes Pradier,France,Bordeaux,14.0,86.0,2,1
Olivetta,Italy,Piedmont,14.0,87.5,2,2
Fraccaroli,Italy,Lombardy,14.0,87.0,3,1
Franchetto,Italy,Veneto,14.0,87.66666666666667,3,1
Ondine,South Africa,Darling,14.0,88.0,1,1
Junta,Chile,Central Valley,14.0,85.66666666666667,3,3
Corinto,Chile,Maule Valley,14.0,83.0,1,1
Risata,Italy,Northeastern Italy,14.0,86.0,1,1
Juan Gil,Spain,Levante,14.0,86.0,15,3
Cor Cellars,US,Oregon,14.0,88.0,1,1
Origin,New Zealand,Marlborough,14.0,88.0,1,1
Orion Wines,Italy,Southern Italy,14.0,85.0,1,1
Heavyweight,US,California,14.0,81.5,4,3
Josef Brigl,Italy,Veneto,14.0,86.0,1,1
Otanon,Spain,Northern Spain,14.0,86.0,1,1
Frenzy,New Zealand,South Island,14.0,87.5,2,1
Cote Tariquet,France,Southwest France,14.0,83.0,1,1
Cono Sur,Chile,Chile,14.0,86.0,2,2
Obrigado,Portugal,Minho,14.0,87.33333333333333,3,2
O,US,Washington,14.0,87.5,2,2
Côté Mas,France,Languedoc-Roussillon,14.0,88.5,2,2
Cà ed Balos,Italy,Piedmont,14.0,88.0,1,1
Currency Creek Estate,Australia,South Australia,14.0,83.0,1,1
Cupcake,US,Washington,14.0,87.0,1,1
Cupcake,Germany,Mosel,14.0,87.0,1,1
Cupcake,Argentina,Mendoza Province,14.0,87.0,1,1
Cuckoo's Nest,US,Oregon,14.0,85.0,2,2
Flying Ace,Germany,Pfalz,14.0,85.0,1,1
Noah,Israel,Judean Hills,14.0,85.0,1,1
Noble Aconcagua,Argentina,Mendoza Province,14.0,84.66666666666667,3,3
Flying Fish,US,Washington,14.0,87.5,2,2
Nos Riqueza,Spain,Northern Spain,14.0,85.0,1,1
Criterion,Argentina,Mendoza Province,14.0,87.0,1,1
Red Electra,US,California,14.0,88.5,2,2
Nōmade,Argentina,Other,14.0,83.0,1,1
O'Reilly's,US,Oregon,14.0,87.75,4,2
Château les Joyeuses,France,Bordeaux,14.0,84.0,1,1
Cono Sur,Chile,Cachapoal Valley,14.0,89.0,1,1
Conde Villar,Portugal,Vinho Verde,14.0,85.0,3,3
Patient Cottat,France,France Other,14.0,85.33333333333333,3,2
Ghostrider,US,California,14.0,89.0,1,1
Ghostrunner,US,California,14.0,86.0,1,1
Paxá Wines,Portugal,Algarve,14.0,84.33333333333333,3,2
Inalto,Italy,Northeastern Italy,14.0,85.0,1,1
In Situ,Chile,Aconcagua Valley,14.0,85.0,12,5
Cliffhanger,Italy,Northeastern Italy,14.0,87.5,2,2
Civello,US,California,14.0,84.0,1,1
Peregrine,New Zealand,Marlborough,14.0,88.0,1,1
Peri Bigogno,Italy,Lombardy,14.0,84.0,2,2
Ileana,Italy,Northeastern Italy,14.0,85.0,1,1
Peñalolen,Chile,Casablanca Valley,14.0,87.0,7,2
Gimenez Riili,Argentina,Other,14.0,83.0,1,1
Philippe Borlais,France,Rhône Valley,14.0,89.0,1,1
Château les Peyroulets,France,Southwest France,14.0,88.0,1,1
Ribafreixo,Portugal,Alentejo,14.0,87.0,8,4
Jean-Michel Cazes,France,Bordeaux,14.0,87.0,6,2
Inkberry,Australia,Australia Other,14.0,88.0,2,1
Inkberry,Australia,New South Wales,14.0,89.0,1,1
Conde Villar,Portugal,Minho,14.0,87.5,2,1
P.K.N.T.,Chile,Maule Valley,14.0,84.0,2,2
Concentration,Argentina,Mendoza Province,14.0,82.0,1,1
James Oatley,Australia,Western Australia,14.0,86.5,2,2
James Oatley,Australia,South Australia,14.0,85.0,1,1
James Oatley,Australia,New South Wales,14.0,87.0,2,2
Château Jeanrousse,France,Bordeaux,14.0,84.0,1,1
Ricordi,Argentina,Mendoza Province,14.0,84.0,1,1
James Oatley,Australia,Australia Other,14.0,86.0,1,1
Galizeus,Spain,Galicia,14.0,86.0,2,1
Palos,Spain,Northern Spain,14.0,85.0,1,1
Paolo Marcarino,Italy,Piedmont,14.0,86.0,1,1
Gauchezco,Argentina,Other,14.0,84.0,1,1
Italo Cescon,Italy,Northeastern Italy,14.0,85.0,1,1
Paris Valley Road Cellars,US,California,14.0,86.33333333333333,3,3
Pasqua,Italy,Southern Italy,14.0,84.0,1,1
Folonari,Italy,Veneto,14.0,85.5,2,2
Puydeval,France,Languedoc-Roussillon,14.0,87.0,1,1
Vino dei Fratelli,Italy,Northeastern Italy,14.0,83.66666666666667,3,2
Tenuta Casaletti,Italy,Veneto,14.0,86.0,1,1
Caitec,Argentina,Other,14.0,83.5,2,1
Anakena,Chile,Peumo,14.0,84.5,2,1
Audubon Cellars,US,California,14.0,82.0,1,1
Bodega Zafado,Argentina,Mendoza Province,14.0,84.0,2,2
Tenuta Cerulli Spinozzi,Italy,Central Italy,14.0,88.0,2,1
Cascina Radice,Italy,Piedmont,14.0,86.0,2,1
Bacasis,Spain,Catalonia,14.0,84.0,1,1
Cavicchioli,Italy,Veneto,14.0,83.0,1,1
Signé Vigneron,France,Burgundy,14.0,84.5,2,2
Cavino,Greece,Mantinia,14.0,85.0,1,1
Château Bovila,France,Southwest France,14.0,88.33333333333333,6,2
Casa Catelli,Italy,Central Italy,14.0,86.0,1,1
Cameron Hughes,Australia,Western Australia,14.0,84.0,1,1
Cantine di Dolianova,Italy,Sicily & Sardinia,14.0,85.0,2,2
Wondrous,US,Washington,14.0,90.0,2,1
Castello della Rosa,Italy,Northeastern Italy,14.0,85.0,1,1
Brampton,South Africa,Stellenbosch,14.0,87.66666666666667,3,2
Cantina Bergamasca,Italy,Lombardy,14.0,84.0,1,1
Temps de Flors,Spain,Catalonia,14.0,89.0,1,1
Barwang,Australia,Victoria,14.0,84.0,1,1
Binz,Germany,Rheinhessen,14.0,87.66666666666667,3,2
Weingut Etz,Austria,Niederösterreich,14.0,88.0,1,1
Viña Cartín,Spain,Galicia,14.0,89.0,1,1
Thomas Mitchell,Australia,Australia Other,14.0,86.0,1,1
Bura,Croatia,Peljesac,14.0,83.0,1,1
château Peychaud,France,Bordeaux,14.0,86.0,1,1
Valdegracia,Spain,Central Spain,14.0,87.0,1,1
Tsantali,Greece,Macedonia,14.0,86.0,1,1
Casa da Alorna,Portugal,Ribatejo,14.0,90.0,1,1
Caves du Val de Loire,France,Loire Valley,14.0,83.0,1,1
Boyer,US,California,14.0,89.0,1,1
Seven Heavenly Chards,US,California,14.0,85.5,2,1
Viña Fuentenarro,Spain,Northern Spain,14.0,82.0,1,1
Sevruga,Romania,Vânju Mare,14.0,81.5,2,1
Bowtie,US,California,14.0,84.5,2,2
Señorio de Garci Grande,Spain,Northern Spain,14.0,87.0,1,1
Capo Soprano,Italy,Sicily & Sardinia,14.0,85.0,4,2
Tenuta di Fraternita,Italy,Tuscany,14.0,87.0,1,1
Cantine Sasso,Italy,Southern Italy,14.0,86.0,1,1
Tenuta Amalia,Italy,Central Italy,14.0,87.0,1,1
Tenute Costa,Italy,Tuscany,14.0,87.0,1,1
Christophe Pacalet,France,Beaujolais,14.0,85.0,2,1
Château Bois Chantant,France,Bordeaux,14.0,89.0,1,1
Chrysorroyiatissa,Cyprus,Cyprus,14.0,86.0,2,1
Stone Wolf,US,Oregon,14.0,89.0,1,1
Caves Velhas,Portugal,Alentejano,14.0,88.125,8,1
Christopher Michael,US,Oregon,14.0,86.0,1,1
Vini Iovine,Italy,Southern Italy,14.0,87.0,1,1
Château Bourron,France,Bordeaux,14.0,85.0,2,1
Tenuta Cantalupi,Italy,Southern Italy,14.0,86.0,1,1
Chrysorroyiatissa,Cyprus,Pafos,14.0,88.0,1,1
A. de Luze et Fils,France,Bordeaux,14.0,85.5,2,2
Sentinel,New Zealand,Marlborough,14.0,85.5,2,1
Talomas,US,California,14.0,85.0,1,1
Vega Barcelona,Spain,Catalonia,14.0,87.0,2,1
Castillo Rocio,Spain,Catalonia,14.0,86.0,1,1
Bodegas Navajas,Spain,Northern Spain,14.0,82.33333333333333,3,3
Broadbent,Austria,Niederösterreich,14.0,89.0,1,1
Tenimenti Zabù,Italy,Sicily & Sardinia,14.0,86.2,5,4
Taonga,New Zealand,Marlborough,14.0,87.0,1,1
Tetramythos,Greece,Patras,14.0,89.0,1,1
Casal Nova,Italy,Southern Italy,14.0,84.0,1,1
Château Bourbon,France,Bordeaux,14.0,83.0,1,1
Wildling,Australia,Australia Other,14.0,84.0,1,1
Cachette,France,Rhône Valley,14.0,89.0,1,1
Aura,US,California,14.0,86.0,1,1
Cantina di Puianello,Italy,Central Italy,14.0,84.33333333333333,3,1
19 Crimes,Australia,Australia Other,14.0,83.0,1,1
Aloja,Spain,Catalonia,14.0,88.0,1,1
Casa Batoreu,Portugal,Tejo,14.0,84.5,2,2
The Seeker,Argentina,Mendoza Province,14.0,85.0,1,1
Westphalia Vineyards,US,Missouri,14.0,87.0,1,1
Carletto,Italy,Veneto,14.0,83.0,1,1
Shoofly,Australia,Victoria,14.0,86.75,4,1
Villa Bizzarri,Italy,Central Italy,14.0,89.0,1,1
Barbed Wire,US,California,14.0,89.0,2,2
Sanchez Muliterno,Spain,Central Spain,14.0,82.0,1,1
Teillery,Chile,Maipo Valley,14.0,80.0,2,2
Shoofly,Australia,South Australia,14.0,87.0,9,6
Seraphim,Argentina,Other,14.0,85.0,1,1
Banyan,US,California,14.0,87.6,5,2
Borgo Magredo,Italy,Northeastern Italy,14.0,85.0,2,1
Viamonte,Argentina,Mendoza Province,14.0,84.66666666666667,3,2
Tora Bay,New Zealand,Martinborough,14.0,84.0,1,1
Aylin,Chile,Leyda Valley,14.0,86.0,1,1
Viña Altaba,Spain,Central Spain,14.0,85.0,2,1
Shoofly,Australia,Australia Other,14.0,84.0,1,1
Candoni,Italy,Southern Italy,14.0,85.0,1,1
Saint Clair,New Zealand,New Zealand,14.0,87.0,1,1
Vignobles Raymond,France,Bordeaux,14.0,88.0,1,1
Bodega Jario,Spain,Northern Spain,14.0,87.0,1,1
Toi Toi,New Zealand,Marlborough,14.0,88.5,2,2
Casas del Toqui,Chile,Leyda Valley,14.0,87.0,1,1
Cap Royal,France,Bordeaux,14.0,86.5,6,3
Azabache,Spain,Northern Spain,14.0,82.0,1,1
The Loyal Companion,US,California,14.0,83.0,3,3
Adobe Creek,US,California,14.0,83.0,1,1
Cave Cooperative du Vendômois,France,Loire Valley,14.0,85.83333333333333,6,3
Cavit,Italy,Veneto,14.0,86.0,2,1
Baron la Rose,France,Bordeaux,14.0,86.0,2,2
Vigna degli Estensi,Italy,Central Italy,14.0,87.0,1,1
Archgate Cellars,US,California,14.0,86.66666666666667,3,3
Vitas,Italy,Northeastern Italy,14.0,86.0,1,1
Cantine Lenotti,Italy,Veneto,14.0,86.0,1,1
Chateau de Pizay,France,Beaujolais,14.0,87.4,5,1
Ca'Tullio,Italy,Veneto,14.0,85.0,1,1
Santos Beck,Argentina,Mendoza Province,14.0,83.5,2,2
Bodega José Quattrocchi,Argentina,Mendoza Province,14.0,81.0,1,1
Secret Cellars,US,California,14.0,86.0,1,1
Cataregia,Spain,Catalonia,14.0,85.0,1,1
Biokult,Austria,Austria,14.0,90.0,2,2
Cachette,France,Languedoc-Roussillon,14.0,84.0,1,1
Vondeling,South Africa,Paardeberg,14.0,88.0,1,1
Andreza,Portugal,Douro,14.0,86.5,2,1
Allure,US,California,14.0,85.66666666666667,6,2
Viu Manent,Chile,Leyda Valley,14.0,88.0,1,1
Winzer Von Erbach,Germany,Rheingau,14.0,87.0,2,1
Tenuta Setten,Italy,Veneto,14.0,85.0,1,1
Biokult,Austria,Niederösterreich,14.0,87.0,1,1
Boschendal,South Africa,Franschhoek,14.0,90.0,2,1
The Seeker,Germany,Mosel,14.0,89.0,1,1
Apothic,US,California,14.0,85.75,8,2
Sedosa,Spain,Central Spain,14.0,86.0,1,1
Ca'Na,US,California,14.0,85.0,1,1
Campo Marin,Spain,Northern Spain,14.0,80.0,1,1
Viticoltori Senesi Aretini,Italy,Tuscany,14.0,86.5,2,2
Semeli,Greece,Peloponnese,14.0,87.0,3,3
San Simone,Italy,Veneto,14.0,85.5,2,1
Trocard,France,Bordeaux,14.0,84.5,2,2
Viña Bisquertt,Chile,Casablanca Valley,14.0,85.0,1,1
Toriles,Spain,Northern Spain,14.0,87.5,2,1
Salviano,Italy,Central Italy,14.0,86.0,3,1
Viña Requingua,Chile,Curicó Valley,14.022222222222222,85.55555555555556,45,16
Château Bianca,US,Oregon,14.03125,85.28125,32,7
Wines & Winemakers,Portugal,Península de Setúbal,14.03225806451613,85.59375,32,5
Mercer Canyons,US,Washington,14.058823529411764,87.05882352941177,17,6
Marrenon,France,Rhône Valley,14.0625,87.0625,16,7
Dynamite Vineyards,US,California,14.1,85.6,10,5
Vinum Africa,South Africa,Stellenbosch,14.11111111111111,86.88888888888889,9,2
Mas des Bressades,France,Rhône Valley,14.11111111111111,89.55555555555556,9,4
Seven Daughters,US,California,14.125,83.375,16,6
Five Rows,US,California,14.142857142857142,86.0,7,3
La Marca,Italy,Veneto,14.142857142857142,86.42857142857143,7,2
Vaza,Spain,Northern Spain,14.142857142857142,86.57142857142857,7,1
El Pensador,Spain,Northern Spain,14.142857142857142,85.85714285714286,7,3
Tittarelli,Argentina,Mendoza Province,14.142857142857142,82.28571428571429,7,4
La Corte,Italy,Southern Italy,14.142857142857142,87.14285714285714,7,3
Willow Crest,US,Washington,14.15,87.4,20,9
