Winery,Country,Province,Mean_Price,Mean_Points,Wines,Variety_Count
Cirrus,South Africa,Stellenbosch,58.0,89.0,1,1
Charnu,US,California,58.0,91.66666666666667,3,2
Grimm's Bluff,US,California,58.0,92.0,6,3
Clos Beauregard,France,Bordeaux,58.0,89.5,2,1
Pirouette,US,Washington,58.07692307692308,92.46153846153847,13,2
Barden,US,California,58.111111111111114,92.66666666666667,9,4
Ladera,US,California,58.111111111111114,88.66666666666667,9,2
Zenato,Italy,Veneto,58.11538461538461,90.44444444444444,27,3
Còlpetrone,Italy,Central Italy,58.22222222222222,88.55555555555556,9,2
Solaria,Italy,Tuscany,58.25,88.77777777777777,9,2
Ökonomierat Rebholz,Germany,Pfalz,58.25,91.5,4,2
Jean Edwards,US,California,58.285714285714285,90.71428571428571,7,2
Paolo Manzone,Italy,Piedmont,58.285714285714285,88.8,15,3
MontGras,Chile,Maipo Valley,58.333333333333336,89.66666666666667,3,1
Viviani,Italy,Veneto,58.333333333333336,87.9,10,2
Château Thuron,France,Bordeaux,58.333333333333336,85.0,3,1
Voirin-Jumel,France,Champagne,58.333333333333336,91.0,4,1
Castelnau,France,Champagne,58.333333333333336,87.66666666666667,3,1
D.G. Viticultors,Spain,Spain Other,58.333333333333336,90.66666666666667,3,2
Scarlett,US,California,58.333333333333336,88.66666666666667,3,1
Penché,US,California,58.333333333333336,89.33333333333333,3,2
"Granja Ntra, Sra. de Remelluri",Spain,Northern Spain,58.333333333333336,88.66666666666667,3,2
Carlo Giacosa,Italy,Piedmont,58.333333333333336,90.22222222222223,9,1
Conn Valley,US,California,58.333333333333336,88.0,3,3
Chardenet,US,California,58.333333333333336,90.66666666666667,3,1
Albino Rocca,Italy,Piedmont,58.43478260869565,91.65384615384616,26,2
Hunnicutt,US,California,58.48717948717949,91.25641025641026,39,7
A. Margaine,France,Champagne,58.5,89.5,2,1
Hibou,US,California,58.5,89.5,2,1
Franco M. Martinetti,Italy,Piedmont,58.5,91.5,2,2
Tenute Niccolai,Italy,Tuscany,58.5,89.11111111111111,9,3
Conway,US,California,58.5,86.5,2,2
Flanagan,US,California,58.5,91.33333333333333,3,3
Craggy Range,New Zealand,Hawke's Bay,58.52,90.17241379310344,29,4
Mount Veeder,US,California,58.53333333333333,89.2,15,3
Signorello,US,California,58.542857142857144,90.1,70,11
Cartuxa,Portugal,Alentejo,58.54545454545455,92.15384615384616,13,2
Château Langoa Barton,France,Bordeaux,58.6,92.05882352941177,17,1
Elvio Cogno,Italy,Piedmont,58.63636363636363,91.55882352941177,34,5
Marques de Griñon,Spain,Central Spain,58.6578947368421,90.10526315789474,38,8
Elias Mora,Spain,Northern Spain,58.666666666666664,90.4,15,1
Painted Rock,Canada,British Columbia,58.666666666666664,91.33333333333333,3,3
Tenuta Crocedimezzo,Italy,Tuscany,58.666666666666664,90.2,5,2
Williams Selyem,US,California,58.68561872909699,92.48837209302326,301,9
Marchesato degli Aleramici,Italy,Tuscany,58.714285714285715,90.0,15,2
Domaine René Monnier,France,Burgundy,58.75,91.25,4,1
Jean-Noël Haton,France,Champagne,58.75,89.0,10,2
Casisano Tommasi,Italy,Tuscany,58.75,90.5,4,1
Cairdean Estate,US,California,58.75,87.25,8,8
Camerano,Italy,Piedmont,58.75,86.5,4,2
Les Belles Collines,US,California,58.76470588235294,91.94117647058823,17,5
Switchback Ridge,US,California,58.833333333333336,91.16666666666667,6,3
L'Arco,Italy,Veneto,58.833333333333336,86.5,6,2
Enzo Boglietti,Italy,Piedmont,58.857142857142854,91.1,10,3
Shea,US,Oregon,58.92,92.88,25,2
Newton,US,California,58.93103448275862,88.37931034482759,29,6
Vieux Château Chauvin,France,Bordeaux,59.0,91.0,1,1
Rage,US,California,59.0,88.0,1,1
Château Clerc Milon,France,Bordeaux,59.0,92.3529411764706,17,1
Podere Scopetone,Italy,Tuscany,59.0,89.33333333333333,3,1
Grevino,US,California,59.0,89.2,5,5
Ramos-Pinto,Portugal,Portugal,59.0,90.0,2,1
La Bioca,Italy,Piedmont,59.0,86.33333333333333,6,1
Domaine Lamy-Pillot,France,Burgundy,59.0,91.0,3,1
Château Maucoil,France,Rhône Valley,59.0,90.66666666666667,6,3
An Approach to Relaxation,Australia,South Australia,59.0,89.0,1,1
Fornacina,Italy,Tuscany,59.07142857142857,89.71428571428571,14,2
Palladino,Italy,Piedmont,59.07692307692308,90.03846153846153,26,3
Moccagatta,Italy,Piedmont,59.09090909090909,91.15384615384616,13,1
Grimaldi Bruna,Italy,Piedmont,59.13333333333333,92.0,19,1
Eleven Eleven,US,California,59.142857142857146,91.28571428571429,7,5
Rocky Point,US,Oregon,59.25,89.5,4,2
Château du Glana,France,Bordeaux,59.25,91.0,8,1
AuburnJames,US,California,59.333333333333336,87.0,9,5
August Kesseler,Germany,Rheingau,59.388888888888886,90.83333333333333,18,4
Crosby Roamann,US,California,59.4,90.0,5,5
Tenuta Sette Cieli,Italy,Tuscany,59.4,90.2,10,2
Pierre Moncuit,France,Champagne,59.42857142857143,90.0,7,1
Sobrero,Italy,Piedmont,59.5,92.5,4,1
Roxo Port Cellars,US,California,59.5,87.0,2,2
Native 9,US,California,59.5,94.0,2,1
Venge,US,California,59.53846153846154,91.05128205128206,39,9
Walt,US,California,59.542857142857144,91.51428571428572,35,2
San Biagio,Italy,Piedmont,59.57142857142857,89.76470588235294,17,1
Le Macioche,Italy,Tuscany,59.6,90.0,7,2
Paraduxx,US,California,59.607142857142854,89.03571428571429,28,3
Château l'Enclos,France,Bordeaux,59.666666666666664,89.33333333333333,3,1
Château d'Armailhac,France,Bordeaux,59.666666666666664,91.13333333333334,15,1
Moulin Touchais,France,Loire Valley,59.666666666666664,93.66666666666667,3,1
Domaine Françoise André,France,Burgundy,59.666666666666664,89.33333333333333,3,2
Xurus,US,California,59.666666666666664,88.33333333333333,3,2
Pio Cesare,Italy,Piedmont,59.714285714285715,89.49056603773585,53,6
H. Blin,France,Champagne,59.714285714285715,90.38095238095238,21,3
Ramian,US,California,59.75,91.5,4,3
Daou,US,California,59.76315789473684,91.65789473684211,38,14
San Vicente,Spain,Northern Spain,59.8,92.8,5,2
Arnaud Baillot,France,Burgundy,59.8,90.0,5,2
Rombauer,US,California,59.833333333333336,87.83333333333333,12,3
Mellisoni,US,Washington,59.875,84.0,8,6
L. Tramier & Fils,France,Burgundy,59.92307692307692,86.89795918367346,49,4
Leoness,US,California,59.9375,90.3125,16,7
Etude,US,Oregon,60.0,91.0,1,1
Bellini,Italy,Veneto,60.0,86.0,1,1
WindVane,US,California,60.0,91.0,2,2
Great Sage,US,California,60.0,84.0,1,1
Antica,US,California,60.0,91.42857142857143,7,3
Kershaw,South Africa,Elgin,60.0,91.0,2,2
Vin de Manies,US,California,60.0,89.5,2,1
Amor Fati,US,California,60.0,91.0,4,3
Delius,Spain,Northern Spain,60.0,87.0,1,1
Luigi Tecce,Italy,Southern Italy,60.0,89.0,2,1
Michele Taliano,Italy,Piedmont,60.0,89.5,4,1
Magali,US,California,60.0,87.5,2,1
Etude,New Zealand,Central Otago,60.0,91.0,1,1
Luc Mérat,France,Champagne,60.0,85.0,2,1
Ventolaio,Italy,Tuscany,60.0,88.0,1,1
Furioso,US,Oregon,60.0,92.0,2,1
Melhill,US,California,60.0,88.5,2,2
Le Strette,Italy,Piedmont,60.0,89.88888888888889,9,1
Henri Milan,France,Provence,60.0,90.0,1,1
Lexington,US,California,60.0,91.375,8,5
Fantesca,US,California,60.0,89.0,2,1
Vizar,Spain,Northern Spain,60.0,91.0,1,1
Licenciado,Spain,Northern Spain,60.0,91.0,1,1
Ancien,US,Oregon,60.0,90.0,1,1
L'Egrégoire,France,Bordeaux,60.0,86.0,1,1
Fidora,Italy,Veneto,60.0,89.0,1,1
Genio del Pago,Italy,Veneto,60.0,91.0,1,1
Gemella,US,California,60.0,87.0,1,1
Methius,Italy,Northeastern Italy,60.0,91.0,1,1
Foley Johnson,US,California,60.0,89.75,4,1
Volta,US,California,60.0,87.0,1,1
Flambeaux,US,California,60.0,90.5,2,1
Metzker Family Estates,US,California,60.0,93.5,2,2
Arzuaga,Spain,Northern Spain,60.0,89.0,5,2
Le Clos de Beau-Père,France,Bordeaux,60.0,90.0,1,1
Fleury,France,Champagne,60.0,91.0,1,1
Domaine Emmanuel Giboulot,France,Burgundy,60.0,88.5,6,2
Antonio Patric,US,California,60.0,93.0,2,2
James Johnson,US,California,60.0,87.0,1,1
Hilliard Bruce,US,California,60.0,89.33333333333333,3,1
Kimsey,US,California,60.0,92.2,5,3
Domaine de Bonserine,France,Rhône Valley,60.0,89.0,1,1
Varozza,US,California,60.0,89.8,5,2
Domaine de Marcoux,France,Rhône Valley,60.0,88.0,1,1
Kongsgaard,US,California,60.0,89.0,1,1
Agnitio,US,California,60.0,88.66666666666667,3,2
Cascina La Barbatella,Italy,Piedmont,60.0,89.75,4,1
Bosque De Matasnos,Spain,Northern Spain,60.0,90.0,1,1
Château Haut Bellevue,France,Bordeaux,60.0,90.0,1,1
Cerridwen,US,California,60.0,88.5,2,2
Mulvane Wine Co.,US,California,60.0,90.0,5,3
Origin,US,California,60.0,89.5,2,2
Origin,US,Oregon,60.0,90.0,1,1
Château Laur,France,Southwest France,60.0,91.0,1,1
Seed,Argentina,Mendoza Province,60.0,94.0,1,1
Tenuta Chiccheri,Italy,Veneto,60.0,91.0,3,2
Château Mancèdre,France,Bordeaux,60.0,88.0,3,1
Two Hands,Australia,Victoria,60.0,86.0,1,1
Serdonis,US,California,60.0,86.0,1,1
Serveaux Fils,France,Champagne,60.0,94.0,1,1
Pangea,Chile,Colchagua Valley,60.0,93.0,1,1
Château Romer du Hayot,France,Bordeaux,60.0,89.28571428571429,7,2
Tenuta Forconi,Italy,Tuscany,60.0,87.5,2,1
Secret Spot Wines,Portugal,Trás-os-Montes,60.0,90.0,1,1
Secondo Marco,Italy,Veneto,60.0,88.71428571428571,7,2
Château Fontenil,France,Bordeaux,60.0,90.33333333333333,6,1
Daniel,US,California,60.0,93.0,1,1
Ulithorne,Australia,South Australia,60.0,89.0,1,1
Schwarz Wein,Austria,Neusiedlersee,60.0,91.0,1,1
Nicholas Cole Cellars,US,Washington,60.0,91.14285714285714,7,3
Cà La Bionda,Italy,Veneto,60.0,92.0,5,2
Daniel Wines,US,California,60.0,91.0,1,1
Culmina,Canada,British Columbia,60.0,91.0,1,1
Crocker & Starr,US,California,60.0,90.16666666666667,6,2
